Band,Genre Updated
Phish,
Pink Floyd,Rock
Pitbull,
Planetshakers,Religious
P!nk,Pop
Pogues,
Point Of Grace,
Poison,
Pretenders,Rock
Primus,
Prince,Rock
Proclaimers,
Procol Harum,
Puff Daddy,Hip-Hop-Rap
Q-Tip,
Qntal,
Quarashi,
Quarterflash,
Quasi,
Queen,Rock
Queen Adreena,
Queen Latifah,
Queens Of The Stone Age,
Queensryche,
Quicksand,
Quicksilver Messenger Service,
Quiet Riot,
Quietdrive,
Quincy Jones,Jazz
Quincy Punx,
R. Kelly,Hip-Hop-Rap
Radiohead,
Raffi,
Rage Against The Machine,
Rainbow,
Rammstein,
Ramones,
Randy Travis,
Rascal Flatts,
Ray Boltz,
Ray Charles,Blues
Reba Mcentire,
Red Hot Chili Peppers,Rock
Regine Velasquez,Pop
REM,Rock
Reo Speedwagon,
Richard Marx,
Rick Astley,
Rihanna,Pop
Robbie Williams,
Rod Stewart,
Rolling Stones,Rock
Roxette,
Roxy Music,
Roy Orbison,Pop
Rush,
Sam Smith,
Santana,Rock
Savage Garden,
Scorpions,Metal
Selah,
Selena Gomez,Pop
Sia,Pop
Side A,Pop
Slayer,
Smiths,
Snoop Dogg,Hip-Hop-Rap
Soundgarden,
Spandau Ballet,Pop
Squeeze,
Starship,
Status Quo,Rock
Steely Dan,Rock
Steve Miller Band,Rock
Stevie Ray Vaughan,Blues
Stevie Wonder,Pop
Sting,Pop
Stone Roses,
Stone Temple Pilots,Pop
Styx,Rock
Sublime,
Supertramp,Pop
System Of A Down,Metal
Talking Heads,
Taylor Swift,
Tears For Fears,
The Temptations,R&B
Ten Years After,Rock
The Broadways,
The Script,
The Weeknd,
Thin Lizzy,Rock
Tiffany,
Tim Buckley,Folk
Tim McGraw,
Tina Turner,R&B
Tom Jones,Pop
Tom Lehrer,
Tom T. Hall,
Tom Waits,Jazz
Tool,
Tori Amos,Folk
Toto,
Townes Van Zandt,Folk
Tracy Chapman,Folk
Tragically Hip,
Train,Rock
Travis,
Twenty One Pilots,
U. D. O.,
U-Kiss,
U2,Rock
UB40,
Ufo,
Ugly Kid Joe,
Ultramagnetic Mc's,
Ultravox,
Uncle Kracker,
Uncle Tupelo,
Underoath,
Underworld,
Unearth,
Ungu,
Unkle,
Unknown,
Unseen,
Unwritten Law,
Uriah Heep,Rock
Used,
Usher,
Utada Hikaru,
Utopia,
Van Halen,Rock
Van Morrison,Blues
Vanessa Williams,Pop
Vangelis,
Vanilla Ice,Hip-Hop-Rap
Velvet Underground,Rock
Vengaboys,
Venom,
Vera Lynn,
Vertical Horizon,
Veruca Salt,
Verve,
Vince Gill,Country
Violent Femmes,
Virgin Steele,
Vonda Shepard,
Vybz Kartel,Raggae
Walk The Moon,
Wanda Jackson,
Wang Chung,
Warren Zevon,Rock
W.A.S.P.,
Waterboys,
Waylon Jennings,Country
Ween,
Weezer,
Weird Al Yankovic,Comedy
Westlife,
Wet Wet Wet,
Wham!,
Whiskeytown,
The White Stripes,
Whitesnake,Rock
Whitney Houston,Pop
Who,
Widespread Panic,
Will Smith,Hip-Hop-Rap
Willie Nelson,
Wilson Phillips,
Wilson Pickett,
Wishbone Ash,
Within Temptation,
Wiz Khalifa,
Wu-Tang Clan,
Wyclef Jean,
X,
X Japan,
X-Raided,
X-Ray Spex,
X-Treme,
Xandria,
Xavier Naidoo,
Xavier Rudd,
Xentrix,Metal
Xiu Xiu,
Xscape,
XTC,
Xzibit,
Yazoo,
Yeah Yeah Yeahs,
Yelawolf,
Yello,
Yellowcard,
Yeng Constantino,
Yes,Rock
YG,
Ying Yang Twins,
Yngwie Malmsteen,Rock
Yo Gotti,
Yo La Tengo,
Yolanda Adams,
Yonder Mountain String Band,
You Am I,
Young Buck,
Young Dro,
Young Jeezy,
Youngbloodz,
Youth Of Today,
Yukmouth,
Yung Joc,
Yusuf Islam,
Z-Ro,
Zac Brown Band,
Zakk Wylde,Rock
Zao,
Zayn Malik,
Zebra,
Zebrahead,
Zed,
Zero 7,
Zeromancer,
Ziggy Marley,Raggae
Zoe,
Zoegirl,
Zornik,
Zox,
Zucchero,
Zwan,
ZZ Top,Rock
Van Der Graaf Generator,
Zazie,
